Name,Branche,Ort,PLZ,Fahrtdistanz,,,,,,,
Codaa Switzerland AG,Consumer Goods & Retail,Schaffhausen,8200,4,,,,,,,
Spirochrome,Life Science & Health Care,Stein am Rhein,8260,21,,,,,,,
Pitsch Nucleic Acids AG,Life Science & Health Care,Stein am Rhein,8260,21,,,,,,,
Antrova AG,Industrial Products & Services,Stein am Rhein,8260,21,,,,,,,
Attinger Technik AG,Life Science & Health Care,Stein am Rhein,8260,21,,,,,,,
Cheiron AG (Vertriebspartner der Chrisofix AG),Consumer Goods & Retail,Schaffhausen,8200,6,,,,,,,
Chrisofix AG,Life Science & Health Care,Neuhausen am Rheinfall,8212,6,,,,,,,
fenik AG (Vertriebspartner der ewimed Gruppe),Life Science & Health Care,Neuhausen am Rheinfall,8212,9,,,,,,,
FME Feinmechanik AG,Industrial Products & Services,Buchberg,8454,25,,,,,,,
Fuchs AG,Industrial Products & Services,Hallau,8215,18,,,,,,,
Hermann Vertriebs GmbH (Vertriebspartner der Hermann Medizintechnik Gruppe),Consumer Goods & Retail,Neuhausen am Rheinfall,8212,8,,,,,,,
LEAG Antriebstechnik AG,Industrial Products & Services,Neuhausen am Rheinfall,8212,8,,,,,,,
Medical Engineering CH GmbH,Life Science & Health Care,Rüdlingen,8455,25,,,,,,,
Maager Quality Management GmbH,Civil Economics,Hallau,8215,18,,,,,,,
QS Schaffhausen,Civil Economics,Beringen,8222,8,,,,,,,
SCHILLING ENGINEERING Schweiz GmbH (Vertriebspartner der SCHILLING Engineering Gruppe),Industrial Products & Services,Trasadingen,8219,19,,,,,,,
SMC Mould Innovation AG,Industrial Products & Services,Hallau,8215,19,,,,,,,
SME Swiss Medical Engineering GmbH,Life Science & Health Care,Stein am Rhein,8260,21,,,,,,,
Sonderegger Engineering AG,Industrial Products & Services,Schaffhausen,8200,4,,,,,,,
Sonoswiss AG,Consumer Goods & Retail,Ramsen,8262,21,,,,,,,
Strack AG,Consumer Goods & Retail,Schaffhausen,8200,7,,,,,,,
Teca-Print AG (Dubuit Gruppe),Industrial Products & Services,Thayngen,8240,12,,,,,,,
The Tao of Excellence,Civil Economics,Beringen,8200,8,,,,,,,
TPP Techno Plastic Products AG,Life Science & Health Care,Trasadingen,8219,19,,,,,,,
Zanol GmbH,Industrial Products & Services,Neunkirch,8213,15,,,,,,,
Neumühle Hallau GmbH,Agriculture & Food,Hallau,8215,16,,,,,,,
Daniele Balsamico & Pasta Manufaktur AG,Agriculture & Food,Schaffhausen,8200,4,,,,,,,
Bonvita AG / Groupe Minoteries SA (GMSA,Agriculture & Food,Stein am Rhein,8260,20,,,,,,,
Distillerie Zimmerli,Agriculture & Food,Hallau,8215,19,,,,,,,
Dave Weinmanufaktur GmbH,Agriculture & Food,Schaffhausen,8200,4,,,,,,,
Weingut Gasser GmbH,Agriculture & Food,Hallau,8215,19,,,,,,,
Rimuss & Strada Wein AG,Agriculture & Food,Hallau,8215,19,,,,,,,
Rötiberg-Kellerei AG,Agriculture & Food,Wilchingen,8217,18,,,,,,,
Weinbaubetrieb Klosterhof GmbH,Agriculture & Food,Thayngen,8240,12,,,,,,,
Kurt Hablützel,Consumer Goods & Retail,Wilchingen,8217,18,,,,,,,
SCHLATTER WEINGUT AG,Agriculture & Food,Hallau,8215,18,,,,,,,
Lolle Bräu GmbH,Agriculture & Food,Neuhausen am Rheinfall,8214,8,,,,,,,
938 greenland water GmbH,Agriculture & Food,Beringen,8222,8,,,,,,,
FMS Technik AG,Industrial Products & Services,Beringen,8222,8,,,,,,,
FARO Swiss Manufacturing GmbH ,Consumer Goods & Retail,Schaffhausen,8200,2,,,,,,,
Methanology AG,Life Science & Health Care,Neuhausen am Rheinfall,8212,9,,,,,,,
Tappolet Engineering GmbH,Civil Economics,Dörflingen,8239,13,,,,,,,
Tesenso GmbH,Industrial Products & Services,Neunkirch,8213,15,,,,,,,
u-Flex GmbH,Industrial Products & Services,Ramsen,8262,21,,,,,,,
TSR Messtechnik AG   ,Industrial Products & Services,Schaffhausen,8207,7,,,,,,,
Clarios Schweiz GmbH (PE spin-off from Johnson Controls),Industrial Products & Services,Schaffhausen,8207,7,,,,,,,
intreXis,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
Coolworld Rentals,Consumer Goods & Retail,Thayngen,8240,12,,,,,,,
Beckhoff Automation AG,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
